	en	fr	es	el	hy
warning_sna	This feature is computer-intensive and is reserved for journalists, fact-checkers and researchers. See on the Tools' page top right to get more info.	Cette fonctionnalité est très gourmande en ressources informatiques. Elle est réservée aux journalistes, fact-checkers et chercheurs. Cliquez sur ? en haut à droite pour plus d'infos.	Esta herramienta necesita muchos recursos informáticos. Por esto, se reserva para periodistas, fact-checkers e investigadores. Para más información, vea las herramientas avanzadas en la página Herramientas (en la parte superior derecha) para registrarse.	Αυτή η δυνατότητα είναι έντασης υπολογιστή. Επομένως, προορίζεται για δημοσιογράφους, ελεγκτές γεγονότων και ερευνητές. Για περισσότερες πληροφορίες, κάντε κλικ ?.	Այս գործառույթը զգալիորեն ծանրաբեռնում է համակարգը և հասանելի է միայն լրագրողների, փաստեր ստուգողների և հետազոտողների համար: Լրացուցիչ տեղեկություններ ստանալու համար տես Գործիքների էջի վերևի աջ հատվածը:
error	An error occurred while processing your query	Une erreur s'est produite lors du traitement de votre requête	Ha habido un error al procesar su solicitud	Παρουσιάστηκε σφάλμα κατά την επεξεργασία του αιτήματός σας	Ձեր հարցումը մշակելիս սխալ տեղի ունեցավ
warning_forensic	This enhanced forensic toolkit aims to help you detect alterations in manipulated images. You should avoid using it with screenshots, scanned images of documents, or juxtaposed images that are in fact altered images. More filters are highlighting the same zone, more suspicious is that particular area of the image. Please take into account that forensic filters are outlining any digital signal alteration and not only semantically manipulated artefacts (which means false positives are possible). Some complex textures or excess of luminance may also alter the signal without any manipulation intention. Whenever possible, use systematically the best image resolution available (even by searching through similarity for higher resolution identical images). 	Cette boîte à outils forensic améliorée vise à vous aider à détecter des manipulations dans les images. Vous devriez éviter de l'utiliser avec des captures d'écran, des images scannées de documents ou des images juxtaposées qui, de facto, sont déjà des images manipulées. Plus de filtres mettent en évidence une même zone commune, plus suspecte est cette région particulière de l'image. Veuillez prendre en compte que les filtres forensic mettent en évidence tout type de modifications du signal numérique de l'image et pas seulement des manipulations altérant le sens de l'image (ce qui veut dire qu'il peut y avoir des faux positifs). Certaines textures complexes ou excès de luminance peuvent également modifier le signal sans intention de manipulation. Si possible, utilisez systématiquement la meilleure résolution d'image disponible, au besoin en faisant une recherche inversée d'image.	Esta caja de herramientas forense mejorada tiene como objetivo ayudarle a detectar manipulaciones en las imágenes. Debe evitar usarlo con capturas de pantalla, copias escaneadas de documentos o imágenes yuxtapuestas que, de facto, ya son imágenes alteradas. Más filtros resaltan la misma área, más sospechosa es este área particular de la imagen. Tenga en cuenta que los filtros forenses resaltan cualquier tipo de alteraciones del señal de la imagen digital y no solo las manipulaciones intencionales que alteran el significado de la imagen. Algunas texturas complejas o luminancias excesivas también pueden cambiar la señal sin que haya intención de manipular el mensaje de la imagen. Cada vez que sea posible, utilice la mejor resolución de imagen disponible, si necesario utilizando la búsqueda inversa.	Αυτή η ενισχυμένη εργαλειοθήκη εγκληματολογικών ερευνών έχει ως στόχο να σας βοηθήσει να εντοπίσετε αλλοιώσεις σε επεξεργασμένες εικόνες. Θα πρέπει να αποφεύγετε να το χρησιμοποιείτε με στιγμιότυπα οθόνης, σαρωμένες εικόνες εγγράφων ή παρατιθέμενες εικόνες που είναι στην πραγματικότητα τροποποιημένες εικόνες. Όσο περισσότερα φίλτρα τονίζουν την ίδια ζώνη, τόσο πιο ύποπτη είναι η συγκεκριμένη ζώνη της εικόνας. Λάβετε υπόψη ότι τα εγκληματολογικά φίλτρα σκιαγραφούν οποιαδήποτε αλλοίωση ψηφιακού σήματος και όχι μόνο σημασιολογικά επεξεργασμένα τεχνουργήματα (πράγμα που σημαίνει ότι είναι πιθανόν να προκύψουν ψευδώς θετικά αποτελέσματα). Ορισμένες πολύπλοκες υφές ή υπερβολική φωτεινότητα μπορεί επίσης να αλλοιώσουν το σήμα χωρίς πρόθεση χειραγώγησης. Όποτε είναι δυνατόν, χρησιμοποιήστε συστηματικά την καλύτερη διαθέσιμη ανάλυση εικόνας (ακόμη και με αναζήτηση μέσω της ομοιότητας για πανομοιότυπες εικόνες υψηλότερης ανάλυσης).	Հետաքննական այս հատուկ գործիքը օգնում է հայտնաբերել պատկերներում միջամտությունների և փոփոխությունների հետքերը: Մի օգտագործեք այս գործիքը էրկանապատկերների (սքրինշոթերի), սկանավորված փաստաթղթերի կամ համադրված պատկերների վրա, քանի որ նրանք իրականում փոփոխված պատկերներ են: Որքան ավելի շատ զտիչ է ըդգծում պատկերի միևնույն տիրույթը, այնքան այդ հատվածը ավելի կասկածելի է: Խնդրում ենք նկատի ունենալ, որ հետաքննական զտիչները ուրվագծում են թվային ազդանշանի ցանկացած փոփոխություն և ոչ միայն իմաստային մանիպուլյացիաների հետքեր (ինչը նշանակում է, որ հավանական են կեղծ դրական արդյունքներ): Որոշ բարդ հյուսվածքներ կամ պայծառության ավելցուկ կարող են նաև փոխել ազդանշանը առանց որևէ իրական մանիպուլյացիայի: Միշտ օգտագործեք ձեզ հասանելի ամենամեծ չափսերով պատկերը (նույնիսկ համանման ավելի բարձր լուծաչափով պատկերներ որոնելով):
warning_advanced_tools	This tool is reserved for journalists, fact checkers and researchers; you need to unlock the advanced tools in the upper right corner of the Tools page to apply and use it.	Cet outil est réservé pour les journalistes, fact checkers et chercheurs, vous devez déverrouiller les outils avancés en haut à droite de la page Outils pour vous enregistrer et pouvoir l'utiliser	Esta herramienta está reservada para periodistas, fact checkers y investigadores; debe desbloquear las herramientas avanzadas en la página Herramientas (en la parte superior derecha) para registrarse y poder usarlas	Αυτό το εργαλείο προορίζεται για δημοσιογράφους, ελεγκτές γεγονότων και ερευνητές- πρέπει να ξεκλειδώσετε τα προηγμένα εργαλεία στην επάνω δεξιά γωνία της σελίδας Εργαλεία για να το εφαρμόσετε και να το χρησιμοποιήσετε.	Այս գործիքը նախատեսված է լրագրողների և փաստերի ստուգող հետազոտողների համար. այն օգտագործելու համար անհրաժեշտ է ապակողպել դրանք, լրացնելով հատուկ դիմումը «Գործիքներ» էջի վերին աջ անկյունում:
warning_beta	This is a experimental tool...	This is a experimental tool...	This is a experimental tool...	This is a experimental tool...	Սա փորձարարական գործիք է...
